"LAG+:ICSME14";"Recovering Feature-to-Code Mappings in Mixed-Variability Software Systems";9;1495467136300;
"useLLE:SoSyM16b";"Enhancing Clone-and-Own with Systematic Reuse for Developing Software Variants";35;1495119617289;
"KKS:ICSME14";"Program Dependency Analysis for Consolidating Customized Product Copies";6;1496775584753;
"BNR+:MODELS14";"Three Cases of Feature-Based Variability Modeling in Industry";23;1496776666998;
"DSW:SPLC14";"Delta-Oriented Multi Software Product Lines";9;1496138873349;
"MRGF:JUCS14";"A Catalogue of Refactorings to Remove Incomplete Annotations";7;1496139953973;
"LS:SPLat14";"Towards the Assessment of Software Product Line Tests A Mutation System for Variable Systems";11;1496141035407;
"BL:FOSD14";"Towards Incremental Test Suite Optimization for Software Product Lines";5;1496142116123;
"PHL:ICST14";"Sampling Program Inputs with Mutation Analysis Going Beyond Combinatorial Interaction Testing";17;1495553877048;
"HPL:SBSE14";"Mutation-Based Generation of Software Product Line Test Configurations";19;1495554958094;
"SO:SPLC14";"Generation, Composition, and Verification of Families of Human-Intensive Systems";3;1496143196821;
"SWZ:InnoSWDev14";"Model Checking Partial Software Product Line Designs";1;1496144278285;
"BH14";"Reasoning and Verification State of the Art and Current Trends";22;1496146440426;
"M14";"VarexJ A Variability-Aware Interpreter for Java Applications";5;1496148603394;
"K14";"Product-Line Verification with Abstract Contracts";-2;1494467354320;
"RBB14";"Emergent Interfaces for Feature Modularization";2;1496149685414;
"ABB+:VSTTE14";"The KeY Platform for Verification and Analysis of Java Programs";41;1496150766683;
"SFG+:SCP14";"On the Use of Feature-Oriented Programming for Evolving Software Product Lines - A Comparative Study";20;1496151848316;
"MMCA:IST14";"On Strategies for Testing Software Product Lines A Systematic Literature Review";29;1496152929590;
"BV:FormaliSE14";"Using mCRL2 for the Analysis of Software Product Lines";18;1496154010598;
"NKN:ICSE14";"Exploring Variability-Aware Execution for Testing Plugin-Based Web Applications";42;1496155092009;
"NBKC:ICSE14";"Mining Configuration Constraints Static Analyses and Empirical Results";68;1496777748399;
"RBK:ICSE14";"Feature Maintenance with Emergent Interfaces";21;1495571036156;
"NKN:FSE14";"Building Call Graphs for Embedded Client-Side Code in Dynamic Web Applications";16;1495572117898;
"CHL+:FSE14";"Counterexample Guided Abstraction Refinement of Product-Line Behavioural Models";13;1495573199726;
"AV:REVE14";"Feature Location for Software Product Line Migration A Mapping Study";12;1495574280909;
"APL+:SPLC14";"Identifying Inactive Code in Product Lines with Configuration-Aware System Dependence Graphs";12;1495575362562;
"T:SPLC14";"Behavioral Relations in a Process Algebra for Variants";13;1495576444267;
"DTP:SPLC14";"A Software Product Line Approach for Semantic Specification of Block Libraries in Dataflow Languages";6;1494468436093;
"CWD+:SPLat14";"An Extensible Platform for Product-Line Behavioural Analysis";4;1495577525749;
"BV:SPLat14";"Software Product Line Analysis with mCRL2";8;1495578606874;
"BHP:ISoLA14";"Fully Abstract Operation Contracts";13;1495632284819;
"LMBR:ISoLA14";"DeltaCCS A Core Calculus for Behavioral Change";15;1495633366417;
"KRA:FOSD14";"On the Relation Between Internal and External Feature Interactions in Feature-Oriented Product Lines A Case Study";2;1495652158409;
"KS:ICSME14";"Program Slicing in the Presence of Preprocessor Variability";2;1496778830105;
"FGFS:JUCS14";"A Toolset for Checking SPL Refinements";2;1494486362465;
"ABW:ASE14";"42 Variability Bugs in the Linux Kernel A Qualitative Analysis";42;1495653239819;
"HPP+:TSE14";"Bypassing the Combinatorial Explosion Using Similarity to Generate and Prioritize T-Wise Test Configurations for Software Product Lines";54;1495654320883;
"MH14";"Scalable and Efficient Sampling for Product-Line Testing";1;1496779911689;
"useATL+:SoSyM16";"Similarity-Based Prioritization in Software Product-Line Testing";32;1497362533529;
"TMB+:SPLC14";"Potential Synergies of Theorem Proving and Model Checking for Software Product Lines";9;1496780993862;
"MTS+:SPLat14";"An Overview on Analysis Tools for Software Product Lines";17;1496821571375;
"SSTS:SPLC14";"Feature-Context Interfaces Tailored Programming Interfaces for Software Product Lines";12;1496822652691;
"CE:ICFP14";"Type-Based Parametric Analysis of Program Families";4;1496823733851;
"PK14";"Tool Support for Contracts in FeatureIDE";1;1496824815205;
"SSR:ICST14";"A Comparison of Test Case Prioritization Criteria for Software Product Lines";28;1494487444621;
"SR:SATTOSE14";"Similarity Management via History Annotation";1;1495450921908;
"TAK+:CSUR14";"A Classification and Survey of Analysis Strategies for Software Product Lines";159;1496825897187;
"AJB+:ICSE14";"Flexible Product Line Engineering with a Virtual Platform";32;1496826978488;
"HSMI:ICST14";"Multi-Objective Test Suite Optimization for Incremental Product Family Testing";18;1496828059266;
"EFN:FM14";"Contracts in Practice";22;1496830221099;
"P14";"Effiziente Kodierung von Variabilität in Spezifikationen";0;1494488526449;
"B14";"Representing Variability in Product Lines A Survey of Modeling and Specification Techniques";2;1496831302206;
"CM:FASE14";"Semantically Configurable Analysis of Scenario-Based Specifications";3;1496832383219;
"KDO:TSE14";"Variability Mining Consistent Semiautomatic Detection of Product-Line Features";35;1495556039353;
"DKB:AOSD14";"Probabilistic Model Checking for Energy Analysis in Software Product Lines";22;1495557120753;
"RLB+:AOSD14";"AspectJML Modular Specification and Runtime Checking for Crosscutting Contracts";10;1494489608043;
"RLB+:AOSDtool14";"Modularizing Crosscutting Contracts with AspectJML";8;1494490689769;
"MBW:AOSD14";"Systematic Derivation of Static Analyses for Software Product Lines";11;1495558201210;
"CCH+:SCP14";"Formal Semantics, Modular Specification, and Symbolic Verification of Product-Line Behaviour";27;1495559282870;
"SK:SCP14";"Reducing the Verification Cost of Evolving Product Families Using Static Analysis Techniques";6;1495560364733;
"CEW:TOPLAS14";"Extending Type Inference to Variational Programs";33;1495563465931;
"WG+:JSS14";"Evolving Feature Model Configurations in Software Product Lines";27;1495564548098;
"YDL+:HASE14";"Combinatorial Test Generation for Software Product Lines Using Minimum Invalid Tuples";5;1495565629607;
"T:SE14";"Modular Reasoning for Crosscutting Concerns with Contracts";0;1494491771417;
"RA:IJCSI14";"A Contractual Specification of Functional and Non-Functional Requirements of Domain-Specific Components";2;1495566710962;
"BTI:TOSEM14";"Join Point Interfaces for Safe and Flexible Decoupling of Aspects";31;1495567792373;
"BH:FHIES14";"Towards Formal Safety Analysis in Feature-Oriented Product Line Development";6;1495568873706;
"ASN:VaMoS14";"Towards Assessing the Complexity of Object Migration in Dynamic, Feature-Oriented Software Product Lines";3;1495569954849;
"DPC+:VaMoS14";"Towards Statistical Prioritization for Software Product Lines Testing";27;1496328354153;
"FTS:VaMoS14";"A Taxonomy of Software Product Line Reengineering";17;1496329435348;
"SSA:VaMoS14";"Capturing Variability in Space and Time with Hyper Feature Models";14;1496330516354;
"TKB+:SCP14";"FeatureIDE An Extensible Framework for Feature-Oriented Software Development";235;1496348522506;
"KGP:EMSE13";"Integrating Conceptual and Logical Couplings for Change Impact Analysis in Software";26;1495469298649;
"AGA:TSE13";"Trustrace Mining Software Repositories to Improve the Accuracy of Requirement Traceability Links";45;1495468217009;
"RC:ESECFSE13";"N-Way Model Merging";25;1495470380546;
"BSL+:TSE13";"A Study of Variability Models and Languages in the Systems Software Domain";59;1498569084146;
"MLF+:CBSOFT13";"Colligens A Tool to Support the Development of Preprocessor-Based Software Product Lines in C";1;1497262315910;
"KKK:REVE13";"A Graph-Based Analysis Concept to Derive a Variation Point Design from Product Copies";9;1496770167980;
"VK:FMSPLE13";"Discrete Time Markov Chain Families Modeling and Verification of Probabilistic Software Product Lines";10;1498407543452;
"DRGP:JSEP13";"Feature Location in Source Code A Taxonomy and Survey";339;1496833464882;
"useLLE:SoSyM16a";"Recovering Traceability Between Features and Code in Product Variants";22;1495120699102;
"RC13";"A Survey of Feature Location Techniques";39;1496866841732;
"DRB+:CSMR13";"An Exploratory Study of Cloning in Industrial Software Product Lines";71;1496867923683;
"SDTF:TOPLAS13";"Contracts for First-Class Classes";23;1496349604377;
"H:FMCO13";"The Abstract Behavioral Specification Language A Tutorial Introduction";24;1496350685731;
"AKS+:FOSD13";"Exploring Feature Interactions in the Wild The New Feature-interaction Challenge";24;1496351767613;
"BRN+:VaMoS13";"A Survey of Variability Modeling in Industrial Practice";157;1496390147484;
"SRA:GPCE13";"Family-Based Performance Measurement";12;1496391229147;
"GBC+:ESECFSE13";"Incrementally Synthesizing Controllers from Scenario-Based Product Line Specifications";21;1496392310258;
"GSCH:REJ13";"Features Meet Scenarios Modeling and Consistency-Checking Scenario-Based Product Line Specifications";8;1496393391957;
"ABT+:REJ13";"Evaluating Scenario-Based SPL Requirements Approaches The Case for Modularity, Stability and Expressiveness";10;1496394473729;
"HS:SC13";"Reusable Components for Lightweight Mechanisation of Programming Languages";3;1496395557202;
"MRG:GPCE13";"Investigating Preprocessor-Based Syntax Errors";28;1496396638699;
"MRKN:iFM13";"Compositional Verification of Software Product Lines";21;1496397720442;
"BDS13";"Compositional Type Checking of Delta-Oriented Software Product Lines";33;1496398801817;
"KKL13";"Introduction to Combinatorial Testing";79;1496869005628;
"HP+:SPLC13";"Multi-Objective Test Generation for Software Product Lines";53;1496899406347;
"KSS:VariComp13";"Towards Efficient SPL Testing by Variant Reduction";7;1497033059246;
"M13";"JML-Based Verification for Feature-Oriented Programming";5;1497034146818;
"IHE+:ICCAD13";"Formal Verification of Distributed Dynamic Thermal Management";11;1497035228819;
"KRHA:GPCE13";"A Comparison of Product-Based, Feature-Based, and Family-Based Type Checking";13;1497036310413;
"LKA+:ESECFSE13";"Scalable Analysis of Variable Software";90;1497037392543;
"KMKB:ESECFSE13";"SPLat Lightweight Dynamic Analysis for Reducing Combinatorics in Testing Configurable Systems";29;1497038474200;
"DDJS13";"Verifying Traits An Incremental Proof System for Fine-Grained Reuse";11;1497039556061;
"PGT+:SPLC13";"Coevolution of Variability Models and Related Artifacts A Case Study from the Linux Kernel";35;1497040638257;
"RLK+13";"Quantifying the Effects of Aspectual Decompositions on Design by Contract Modularization A Maintenance Study";6;1497041720077;
"BMB+:PLDI13";"SPLLIFT Statically Analyzing Software Product Lines in Minutes Instead of Years";50;1497168767999;
"HTH13";"Separation of Concerns in Feature Diagram Languages A Systematic Survey";22;1497169849762;
"SK:JUCS13";"Modeling and Verification of Reconfigurable Actor Families";5;1497170931102;
"SK:FSEN13";"Delta Modeling and Model Checking of Product Families";7;1497203511260;
"I13";"Methodology for the Derivation of Product Behaviour in a Software Product Line";7;1497204593834;
"HB:FHIES13";"Enhancing Product Line Development by Safety Requirements and Verification";6;1497205675450;
"FKA+:EMSE13";"Do Background Colors Improve Program Comprehension in the Ifdef Hell";47;1497363614506;
"RCC:SPLC13";"Managing Cloned Variants A Framework and Experience";50;1497206757810;
"D13";"Feature Modularity in Mechanized Reasoning";0;1494492853494;
"SST:MultiPLE13";"Towards Modular Analysis of Multi Product Lines";18;1496399883483;
"ABKS13";"Feature-Oriented Software Product Lines Concepts and Implementation";-2;1494493938019;
"useRLB+:AOSD14";"AspectJML Modular Specification and Runtime Checking for Crosscutting Contracts";10;1494495019686;
"PB13";"Separation Logic for Object-Oriented Programming";9;1496400964851;
"BLP:FMSPLE13";"Combining Declarative and Procedural Views in the Specification and Analysis of Product Families";30;1496402045838;
